Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Notes
IIASA GDP,SSP2,R32MEX,GDP|PPP,Annual Average Growth [%],3.289,3.382,3.649,3.228,2.827,2.746,2.579,2.313,1.924,1.596,1.424,1.370,1.351,1.319,1.272,1.208,1.137,1.070,,
IIASA GDP,SSP3,R32MEX,GDP|PPP,Annual Average Growth [%],3.344,3.445,3.718,3.281,2.901,2.533,2.303,2.276,2.196,1.988,1.769,1.595,1.505,1.456,1.431,1.420,1.418,1.432,,
IIASA GDP,SSP4,R32MEX,GDP|PPP,Annual Average Growth [%],3.160,2.975,2.910,2.225,1.746,1.380,1.162,1.169,1.080,0.868,0.600,0.394,0.241,0.127,0.036,-0.015,-0.034,-0.041,,
IIASA GDP,SSP5,R32MEX,GDP|PPP,Annual Average Growth [%],3.274,3.511,3.875,3.453,3.342,3.120,2.714,2.265,1.995,1.847,1.763,1.691,1.609,1.510,1.387,1.246,1.076,0.866,,
OECD Env-Growth,SSP1,R32MEX,GDP|PPP,Annual Average Growth [%],3.388,3.170,3.306,3.513,3.528,3.223,2.929,2.646,2.345,2.048,1.815,1.552,1.335,1.175,0.998,0.831,0.671,0.472,,
OECD Env-Growth,SSP2,R32MEX,GDP|PPP,Annual Average Growth [%],3.506,3.314,3.166,2.982,2.774,2.576,2.463,2.396,2.300,2.162,2.090,1.989,1.911,1.827,1.740,1.669,1.608,1.541,,
OECD Env-Growth,SSP3,R32MEX,GDP|PPP,Annual Average Growth [%],3.647,3.507,3.091,2.607,2.188,1.853,1.621,1.510,1.437,1.349,1.338,1.303,1.275,1.207,1.128,1.069,1.021,0.985,,
OECD Env-Growth,SSP4,R32MEX,GDP|PPP,Annual Average Growth [%],3.417,3.161,2.938,2.907,2.719,2.422,2.192,2.065,1.949,1.805,1.692,1.525,1.390,1.285,1.175,1.081,0.995,0.898,,
OECD Env-Growth,SSP5,R32MEX,GDP|PPP,Annual Average Growth [%],3.332,3.112,3.538,4.117,4.277,3.848,3.436,3.091,2.767,2.449,2.228,1.981,1.785,1.658,1.516,1.385,1.260,1.096,,
PIK GDP-32,SSP1,R32MEX,GDP|PPP,Annual Average Growth [%],3.105,3.851,3.692,3.388,3.161,2.974,2.897,2.537,2.148,1.728,1.496,1.199,0.994,0.875,0.742,0.640,0.500,0.275,,
PIK GDP-32,SSP2,R32MEX,GDP|PPP,Annual Average Growth [%],3.139,3.813,3.561,3.321,3.130,2.967,2.922,2.611,2.318,2.031,1.934,1.768,1.656,1.558,1.481,1.406,1.321,1.234,,
PIK GDP-32,SSP3,R32MEX,GDP|PPP,Annual Average Growth [%],3.208,3.757,3.369,3.049,2.804,2.573,2.470,2.178,1.953,1.777,1.758,1.656,1.609,1.514,1.427,1.366,1.308,1.272,,
PIK GDP-32,SSP4,R32MEX,GDP|PPP,Annual Average Growth [%],3.327,3.985,3.711,3.344,3.064,2.797,2.648,2.309,1.959,1.597,1.418,1.183,1.027,0.920,0.790,0.688,0.609,0.491,,
PIK GDP-32,SSP5,R32MEX,GDP|PPP,Annual Average Growth [%],2.717,3.542,3.472,3.320,3.231,3.175,3.224,2.892,2.534,2.142,1.958,1.715,1.600,1.562,1.534,1.571,1.490,1.299,,
IIASA GDP,SSP1,R32NAF,GDP|PPP,Annual Average Growth [%],4.172,3.288,3.303,3.650,3.808,3.761,3.520,3.135,2.668,2.172,1.706,1.324,1.017,0.782,0.607,0.550,0.568,0.599,,
IIASA GDP,SSP2,R32NAF,GDP|PPP,Annual Average Growth [%],4.170,3.054,2.869,3.142,3.353,3.421,3.301,3.043,2.715,2.365,2.061,1.777,1.519,1.292,1.108,0.973,0.873,0.793,,
IIASA GDP,SSP3,R32NAF,GDP|PPP,Annual Average Growth [%],4.110,2.719,2.223,2.229,2.349,2.407,2.340,2.161,1.922,1.671,1.467,1.330,1.260,1.233,1.226,1.224,1.219,1.210,,
IIASA GDP,SSP4,R32NAF,GDP|PPP,Annual Average Growth [%],3.931,2.377,1.767,1.764,1.905,2.018,1.981,1.797,1.539,1.265,1.037,0.861,0.708,0.569,0.451,0.361,0.284,0.205,,
IIASA GDP,SSP5,R32NAF,GDP|PPP,Annual Average Growth [%],4.183,3.431,3.631,4.157,4.423,4.414,4.155,3.715,3.180,2.627,2.138,1.855,1.766,1.786,1.811,1.792,1.724,1.598,,
OECD Env-Growth,SSP1,R32NAF,GDP|PPP,Annual Average Growth [%],3.486,5.266,5.409,5.371,5.086,4.541,3.949,3.360,2.927,2.592,2.278,1.903,1.556,1.295,1.086,0.930,0.790,0.608,,
OECD Env-Growth,SSP2,R32NAF,GDP|PPP,Annual Average Growth [%],3.599,5.313,5.071,4.599,4.103,3.751,3.443,3.150,2.946,2.775,2.600,2.369,2.147,1.961,1.812,1.690,1.577,1.460,,
OECD Env-Growth,SSP3,R32NAF,GDP|PPP,Annual Average Growth [%],3.716,5.407,4.762,3.936,3.155,2.666,2.315,2.073,1.996,1.972,1.954,1.885,1.817,1.737,1.658,1.604,1.559,1.518,,
OECD Env-Growth,SSP4,R32NAF,GDP|PPP,Annual Average Growth [%],3.503,5.137,4.808,4.407,3.838,3.318,2.881,2.532,2.340,2.196,2.008,1.742,1.492,1.305,1.158,1.058,0.966,0.845,,
OECD Env-Growth,SSP5,R32NAF,GDP|PPP,Annual Average Growth [%],3.462,5.271,5.823,6.117,5.924,5.220,4.511,3.850,3.399,3.068,2.769,2.402,2.071,1.834,1.649,1.519,1.406,1.247,,
PIK GDP-32,SSP1,R32NAF,GDP|PPP,Annual Average Growth [%],6.026,5.898,5.676,5.270,4.814,4.307,3.758,3.080,2.643,2.352,2.097,1.736,1.362,1.133,1.002,1.005,0.937,0.726,,
PIK GDP-32,SSP2,R32NAF,GDP|PPP,Annual Average Growth [%],6.181,5.918,5.554,5.159,4.692,4.182,3.651,3.048,2.714,2.542,2.401,2.174,1.931,1.748,1.627,1.565,1.527,1.443,,
PIK GDP-32,SSP3,R32NAF,GDP|PPP,Annual Average Growth [%],6.135,5.655,5.075,4.591,4.071,3.482,2.893,2.350,2.099,2.035,2.019,1.893,1.744,1.589,1.485,1.448,1.425,1.400,,
PIK GDP-32,SSP4,R32NAF,GDP|PPP,Annual Average Growth [%],6.462,6.160,5.756,5.216,4.648,4.032,3.396,2.755,2.362,2.126,1.924,1.625,1.289,1.097,0.968,0.923,0.900,0.778,,
PIK GDP-32,SSP5,R32NAF,GDP|PPP,Annual Average Growth [%],5.683,5.708,5.639,5.393,5.069,4.669,4.210,3.533,3.119,2.864,2.658,2.344,2.048,1.885,1.838,1.945,1.912,1.713,,
IIASA GDP,SSP1,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.364,9.189,7.730,5.541,3.828,2.718,2.001,2.124,2.203,2.064,1.653,1.204,0.911,0.789,0.702,0.551,0.367,0.175,,
IIASA GDP,SSP2,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.337,8.940,7.289,5.051,3.416,2.421,1.836,1.646,1.559,1.465,1.695,1.762,1.622,1.297,1.048,0.936,0.914,0.964,,
IIASA GDP,SSP3,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.347,8.877,7.111,4.737,3.006,1.960,1.372,1.218,1.185,1.124,1.101,1.017,0.882,0.747,0.690,0.734,0.826,0.918,,
IIASA GDP,SSP4,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.207,8.568,6.622,4.145,2.404,1.405,0.843,0.708,0.664,0.572,0.495,0.340,0.103,-0.123,-0.267,-0.308,-0.284,-0.276,,
IIASA GDP,SSP5,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.373,9.309,7.995,5.945,4.323,3.258,2.542,2.654,2.700,2.516,2.184,1.948,1.768,1.651,1.510,1.298,1.055,0.810,,
OECD Env-Growth,SSP1,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],6.300,7.292,6.584,6.207,5.697,5.027,4.343,3.611,3.006,2.533,2.247,1.869,1.468,1.169,0.921,0.731,0.575,0.375,,
OECD Env-Growth,SSP2,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],6.394,7.255,5.825,4.934,4.227,3.896,3.566,3.152,2.819,2.584,2.491,2.287,2.036,1.828,1.672,1.577,1.507,1.425,,
OECD Env-Growth,SSP3,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],6.481,7.276,5.371,4.152,3.220,2.859,2.566,2.203,1.930,1.771,1.769,1.663,1.510,1.374,1.282,1.263,1.268,1.270,,
OECD Env-Growth,SSP4,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],6.308,7.116,5.561,4.737,3.951,3.516,3.089,2.590,2.186,1.900,1.763,1.489,1.166,0.925,0.740,0.641,0.577,0.485,,
OECD Env-Growth,SSP5,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],6.273,7.428,7.273,7.215,6.674,5.733,4.895,4.083,3.441,2.955,2.672,2.299,1.907,1.624,1.391,1.217,1.081,0.899,,
PIK GDP-32,SSP1,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],8.848,8.632,7.612,6.464,5.340,4.113,2.966,2.246,1.761,1.342,1.327,1.013,0.616,0.352,0.215,0.306,0.262,0.053,,
PIK GDP-32,SSP2,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.145,8.674,7.452,6.291,5.153,3.948,2.843,2.216,1.858,1.597,1.656,1.465,1.163,0.953,0.849,0.838,0.840,0.797,,
PIK GDP-32,SSP3,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.086,8.257,6.774,5.494,4.312,3.049,1.874,1.319,1.062,0.928,1.089,0.972,0.773,0.621,0.558,0.600,0.637,0.642,,
PIK GDP-32,SSP4,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],9.525,8.972,7.680,6.368,5.150,3.871,2.700,2.030,1.612,1.280,1.335,1.091,0.717,0.518,0.401,0.416,0.467,0.424,,
PIK GDP-32,SSP5,R32OAS-CPA,GDP|PPP,Annual Average Growth [%],8.302,8.360,7.533,6.540,5.522,4.365,3.264,2.543,2.078,1.692,1.734,1.470,1.165,0.977,0.942,1.205,1.221,1.032,,
IIASA GDP,SSP1,R32OAS-L,GDP|PPP,Annual Average Growth [%],4.344,5.055,4.781,4.767,4.614,4.394,3.988,3.573,3.167,2.949,2.682,2.354,1.951,1.561,1.220,0.945,0.722,0.526,,
IIASA GDP,SSP2,R32OAS-L,GDP|PPP,Annual Average Growth [%],4.252,4.569,4.023,3.801,3.716,3.665,3.501,3.271,3.038,2.809,2.583,2.378,2.195,2.119,2.018,1.850,1.627,1.412,,
IIASA GDP,SSP3,R32OAS-L,GDP|PPP,Annual Average Growth [%],4.125,3.941,3.110,2.727,2.501,2.313,2.079,1.763,1.543,1.434,1.401,1.378,1.364,1.327,1.281,1.244,1.220,1.215,,
IIASA GDP,SSP4,R32OAS-L,GDP|PPP,Annual Average Growth [%],3.981,3.838,3.078,2.814,2.718,2.686,2.583,2.364,2.202,2.131,2.111,2.071,2.022,1.947,1.863,1.793,1.740,1.701,,
IIASA GDP,SSP5,R32OAS-L,GDP|PPP,Annual Average Growth [%],4.345,5.230,5.197,5.409,5.385,5.207,4.778,4.310,3.848,3.587,3.275,2.894,2.441,2.013,1.694,1.564,1.634,1.749,,
OECD Env-Growth,SSP1,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.285,5.719,6.005,6.221,6.173,5.812,5.278,4.691,4.148,3.643,3.159,2.716,2.344,2.020,1.722,1.461,1.239,1.024,,
OECD Env-Growth,SSP2,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.431,5.755,5.301,4.795,4.317,4.206,4.049,3.868,3.694,3.519,3.326,3.142,2.976,2.785,2.597,2.420,2.268,2.120,,
OECD Env-Growth,SSP3,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.571,5.857,4.861,3.906,3.058,2.856,2.685,2.535,2.437,2.378,2.328,2.301,2.285,2.218,2.137,2.075,2.029,1.996,,
OECD Env-Growth,SSP4,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.452,5.638,4.476,3.434,2.323,2.001,1.749,1.560,1.444,1.367,1.294,1.255,1.251,1.223,1.195,1.188,1.201,1.226,,
OECD Env-Growth,SSP5,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.248,5.778,6.627,7.335,7.399,6.749,6.000,5.267,4.638,4.087,3.584,3.136,2.769,2.464,2.189,1.951,1.755,1.564,,
PIK GDP-32,SSP1,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.660,4.700,4.789,4.855,4.922,4.965,4.869,4.645,4.406,4.132,3.794,3.475,3.281,3.062,2.812,2.593,2.354,1.861,,
PIK GDP-32,SSP2,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.628,4.446,4.265,4.226,4.152,4.087,3.936,3.700,3.542,3.431,3.300,3.206,3.196,3.085,2.981,2.881,2.812,2.556,,
PIK GDP-32,SSP3,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.764,4.240,3.720,3.449,3.205,2.955,2.651,2.230,1.967,1.831,1.713,1.600,1.542,1.376,1.207,1.064,0.936,0.793,,
PIK GDP-32,SSP4,R32OAS-L,GDP|PPP,Annual Average Growth [%],5.787,4.465,4.106,3.875,3.655,3.411,3.087,2.683,2.391,2.184,1.989,1.813,1.719,1.539,1.328,1.134,0.946,0.687,,
PIK GDP-32,SSP5,R32OAS-L,GDP|PPP,Annual Average Growth [%],4.911,4.117,4.345,4.546,4.714,4.839,4.817,4.672,4.526,4.352,4.136,3.943,3.943,3.862,3.796,3.846,3.696,3.177,,
IIASA GDP,SSP1,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.400,2.896,2.724,2.712,2.670,2.646,2.705,2.486,2.016,1.430,1.048,0.884,0.824,0.777,0.702,0.587,0.444,0.295,,
IIASA GDP,SSP2,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.388,2.743,2.476,2.471,2.500,2.551,2.414,2.320,2.065,1.739,1.373,1.109,0.976,0.939,0.927,0.904,0.867,0.821,,
IIASA GDP,SSP3,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.175,2.224,1.755,1.724,1.818,1.961,1.926,1.717,1.461,1.282,1.191,1.149,1.136,1.127,1.118,1.115,1.120,1.134,,
IIASA GDP,SSP4,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.191,2.202,1.626,1.442,1.451,1.556,1.486,1.222,0.872,0.585,0.379,0.233,0.113,0.020,-0.075,-0.170,-0.258,-0.341,,
IIASA GDP,SSP5,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.460,3.097,3.102,3.230,3.263,3.252,3.275,3.003,2.504,2.116,1.897,1.782,1.661,1.537,1.410,1.262,1.094,0.916,,
OECD Env-Growth,SSP1,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.482,4.791,4.709,4.531,4.162,3.604,3.004,2.497,2.134,1.821,1.501,1.185,0.917,0.720,0.536,0.366,0.207,0.040,,
OECD Env-Growth,SSP2,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.544,4.776,4.329,3.820,3.342,3.007,2.679,2.406,2.226,2.055,1.854,1.666,1.509,1.365,1.217,1.091,0.973,0.871,,
OECD Env-Growth,SSP3,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.537,4.683,3.795,2.961,2.276,1.932,1.631,1.431,1.369,1.328,1.279,1.252,1.249,1.216,1.153,1.098,1.054,1.037,,
OECD Env-Growth,SSP4,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.472,4.625,4.071,3.607,3.065,2.637,2.218,1.893,1.707,1.541,1.311,1.079,0.885,0.742,0.600,0.480,0.375,0.260,,
OECD Env-Growth,SSP5,R32OAS-M,GDP|PPP,Annual Average Growth [%],4.539,4.926,5.223,5.297,4.975,4.321,3.689,3.139,2.756,2.446,2.127,1.803,1.530,1.332,1.153,0.989,0.839,0.678,,
PIK GDP-32,SSP1,R32OAS-M,GDP|PPP,Annual Average Growth [%],6.715,5.574,4.899,4.285,3.760,3.192,2.674,2.263,1.905,1.588,1.261,0.949,0.711,0.596,0.443,0.260,0.122,-0.058,,
PIK GDP-32,SSP2,R32OAS-M,GDP|PPP,Annual Average Growth [%],6.544,5.348,4.611,4.041,3.573,3.041,2.587,2.248,1.982,1.795,1.613,1.441,1.339,1.244,1.121,1.033,0.939,0.859,,
PIK GDP-32,SSP3,R32OAS-M,GDP|PPP,Annual Average Growth [%],6.521,5.095,4.129,3.470,2.935,2.370,1.880,1.590,1.414,1.341,1.301,1.263,1.270,1.202,1.118,1.064,1.028,1.027,,
PIK GDP-32,SSP4,R32OAS-M,GDP|PPP,Annual Average Growth [%],6.643,5.428,4.673,4.003,3.444,2.845,2.297,1.930,1.626,1.376,1.113,0.871,0.709,0.629,0.509,0.407,0.329,0.208,,
PIK GDP-32,SSP5,R32OAS-M,GDP|PPP,Annual Average Growth [%],6.365,5.435,4.976,4.542,4.176,3.745,3.341,2.940,2.594,2.296,1.985,1.687,1.484,1.381,1.275,1.182,1.067,0.884,,
IIASA GDP,SSP1,R32PAK,GDP|PPP,Annual Average Growth [%],3.339,4.087,4.372,4.805,5.031,5.049,4.892,4.573,4.114,3.584,3.049,2.562,2.116,1.725,1.392,1.120,0.894,0.771,,
IIASA GDP,SSP2,R32PAK,GDP|PPP,Annual Average Growth [%],2.948,3.207,3.174,3.563,3.889,4.097,4.201,4.184,4.056,3.860,3.642,3.415,3.175,2.916,2.652,2.385,2.127,1.880,,
IIASA GDP,SSP3,R32PAK,GDP|PPP,Annual Average Growth [%],2.711,2.596,2.189,2.315,2.439,2.502,2.529,2.480,2.348,2.162,1.989,1.864,1.798,1.762,1.729,1.686,1.642,1.605,,
IIASA GDP,SSP4,R32PAK,GDP|PPP,Annual Average Growth [%],2.606,2.578,2.332,2.668,2.950,3.110,3.182,3.149,3.023,2.845,2.687,2.577,2.520,2.488,2.456,2.408,2.352,2.293,,
IIASA GDP,SSP5,R32PAK,GDP|PPP,Annual Average Growth [%],3.346,4.246,4.747,5.390,5.751,5.829,5.666,5.301,4.779,4.184,3.587,3.040,2.538,2.173,2.086,2.149,2.223,2.219,,
OECD Env-Growth,SSP1,R32PAK,GDP|PPP,Annual Average Growth [%],3.262,4.051,5.235,5.994,6.367,6.261,5.885,5.355,4.841,4.354,3.906,3.492,3.051,2.674,2.338,2.051,1.810,1.570,,
OECD Env-Growth,SSP2,R32PAK,GDP|PPP,Annual Average Growth [%],3.464,4.203,4.809,4.966,4.986,5.020,4.921,4.741,4.547,4.362,4.195,4.026,3.796,3.548,3.314,3.108,2.929,2.751,,
OECD Env-Growth,SSP3,R32PAK,GDP|PPP,Annual Average Growth [%],3.632,4.372,4.384,4.008,3.686,3.595,3.449,3.266,3.123,3.032,2.988,2.957,2.863,2.721,2.574,2.457,2.365,2.284,,
OECD Env-Growth,SSP4,R32PAK,GDP|PPP,Annual Average Growth [%],3.600,4.298,4.187,3.745,3.232,3.086,2.911,2.714,2.565,2.466,2.418,2.395,2.317,2.198,2.088,2.011,1.965,1.936,,
OECD Env-Growth,SSP5,R32PAK,GDP|PPP,Annual Average Growth [%],3.229,4.025,5.603,6.832,7.417,7.167,6.646,5.994,5.394,4.849,4.371,3.940,3.497,3.138,2.821,2.556,2.342,2.129,,
PIK GDP-32,SSP1,R32PAK,GDP|PPP,Annual Average Growth [%],6.345,4.642,4.834,4.860,4.923,4.659,4.442,4.292,4.157,3.988,3.803,3.679,3.500,3.279,3.119,3.117,2.924,2.445,,
PIK GDP-32,SSP2,R32PAK,GDP|PPP,Annual Average Growth [%],6.707,4.845,4.856,4.905,4.900,4.528,4.223,3.980,3.841,3.744,3.673,3.622,3.494,3.337,3.209,3.129,3.051,2.813,,
PIK GDP-32,SSP3,R32PAK,GDP|PPP,Annual Average Growth [%],6.780,4.712,4.495,4.446,4.388,3.907,3.486,3.048,2.812,2.681,2.582,2.452,2.240,1.987,1.783,1.627,1.478,1.302,,
PIK GDP-32,SSP4,R32PAK,GDP|PPP,Annual Average Growth [%],6.738,4.776,4.655,4.725,4.762,4.351,3.975,3.565,3.347,3.224,3.129,2.988,2.757,2.479,2.245,2.049,1.848,1.587,,
PIK GDP-32,SSP5,R32PAK,GDP|PPP,Annual Average Growth [%],5.836,4.222,4.489,4.609,4.747,4.543,4.380,4.292,4.228,4.138,4.061,4.063,4.075,4.014,4.056,4.335,4.241,3.748,,
IIASA GDP,SSP1,R32RUS,GDP|PPP,Annual Average Growth [%],4.653,2.829,2.062,1.465,1.145,0.984,0.850,0.753,0.778,0.887,0.965,0.975,0.915,0.813,0.707,0.609,0.522,0.441,,
IIASA GDP,SSP2,R32RUS,GDP|PPP,Annual Average Growth [%],4.773,2.865,1.963,1.305,1.046,1.009,1.001,0.956,0.973,1.055,1.129,1.155,1.127,1.066,1.005,0.962,0.932,0.900,,
IIASA GDP,SSP3,R32RUS,GDP|PPP,Annual Average Growth [%],4.789,2.774,1.714,0.953,0.684,0.692,0.760,0.802,0.843,0.939,1.070,1.201,1.307,1.374,1.412,1.433,1.444,1.438,,
IIASA GDP,SSP4,R32RUS,GDP|PPP,Annual Average Growth [%],4.693,2.593,1.482,0.666,0.349,0.299,0.285,0.216,0.165,0.180,0.208,0.222,0.215,0.187,0.154,0.130,0.104,0.060,,
IIASA GDP,SSP5,R32RUS,GDP|PPP,Annual Average Growth [%],4.699,3.033,2.484,2.063,1.822,1.661,1.605,1.606,1.688,1.798,1.837,1.793,1.671,1.512,1.355,1.211,1.075,0.939,,
OECD Env-Growth,SSP1,R32RUS,GDP|PPP,Annual Average Growth [%],3.939,3.775,3.746,3.820,3.401,2.589,1.767,1.106,0.836,0.912,0.832,0.562,0.243,0.073,0.022,0.018,-0.002,-0.147,,
OECD Env-Growth,SSP2,R32RUS,GDP|PPP,Annual Average Growth [%],3.985,3.658,3.292,2.950,2.462,1.989,1.482,1.127,1.104,1.358,1.342,1.231,1.038,0.888,0.819,0.797,0.771,0.685,,
OECD Env-Growth,SSP3,R32RUS,GDP|PPP,Annual Average Growth [%],3.978,3.540,2.874,2.383,1.910,1.438,0.803,0.336,0.318,0.668,0.902,0.959,0.932,0.905,0.782,0.811,0.791,0.705,,
OECD Env-Growth,SSP4,R32RUS,GDP|PPP,Annual Average Growth [%],3.926,3.570,3.290,3.142,2.822,2.277,1.585,1.051,0.924,1.119,1.015,0.828,0.564,0.384,0.289,0.239,0.179,0.048,,
OECD Env-Growth,SSP5,R32RUS,GDP|PPP,Annual Average Growth [%],3.971,3.948,4.631,4.946,4.564,3.567,2.602,1.864,1.568,1.624,1.540,1.285,0.990,0.839,0.793,0.777,0.737,0.587,,
PIK GDP-32,SSP1,R32RUS,GDP|PPP,Annual Average Growth [%],1.348,1.440,1.787,2.069,2.339,2.025,1.751,1.210,0.992,1.422,1.408,0.974,0.425,0.204,0.281,0.476,0.493,0.241,,
PIK GDP-32,SSP2,R32RUS,GDP|PPP,Annual Average Growth [%],1.556,1.512,1.718,1.971,2.194,1.837,1.564,1.164,1.152,1.711,1.815,1.520,1.123,0.942,0.981,1.070,1.092,0.958,,
PIK GDP-32,SSP3,R32RUS,GDP|PPP,Annual Average Growth [%],1.473,1.127,1.010,1.119,1.205,0.711,0.341,0.044,0.198,0.926,1.160,0.962,0.709,0.595,0.694,0.818,0.833,0.728,,
PIK GDP-32,SSP4,R32RUS,GDP|PPP,Annual Average Growth [%],1.820,1.745,1.918,2.055,2.188,1.750,1.389,0.923,0.802,1.296,1.328,0.964,0.463,0.256,0.268,0.335,0.343,0.144,,
PIK GDP-32,SSP5,R32RUS,GDP|PPP,Annual Average Growth [%],1.078,1.392,1.988,2.444,2.858,2.678,2.520,1.994,1.780,2.153,2.119,1.734,1.271,1.127,1.276,1.498,1.473,1.183,,
IIASA GDP,SSP1,R32SAF,GDP|PPP,Annual Average Growth [%],4.248,3.856,4.357,4.403,4.132,3.618,3.056,2.523,2.056,1.643,1.354,1.193,1.093,1.004,0.909,0.813,0.711,0.607,,
IIASA GDP,SSP2,R32SAF,GDP|PPP,Annual Average Growth [%],4.225,3.485,3.392,3.557,3.568,3.364,2.964,2.577,2.247,1.979,1.743,1.523,1.353,1.227,1.137,1.059,0.980,0.902,,
IIASA GDP,SSP3,R32SAF,GDP|PPP,Annual Average Growth [%],4.073,2.963,2.619,2.300,2.231,2.212,2.240,2.111,1.873,1.604,1.401,1.266,1.192,1.158,1.154,1.151,1.150,1.149,,
IIASA GDP,SSP4,R32SAF,GDP|PPP,Annual Average Growth [%],4.057,2.974,2.556,2.141,2.166,2.073,1.819,1.446,1.135,0.900,0.713,0.557,0.408,0.270,0.144,0.027,-0.092,-0.215,,
IIASA GDP,SSP5,R32SAF,GDP|PPP,Annual Average Growth [%],4.310,4.114,4.851,5.080,4.899,4.410,3.832,3.257,2.781,2.491,2.306,2.163,2.000,1.827,1.651,1.486,1.325,1.169,,
OECD Env-Growth,SSP1,R32SAF,GDP|PPP,Annual Average Growth [%],3.733,4.504,4.443,4.235,3.979,3.547,3.054,2.567,2.190,1.899,1.570,1.227,0.959,0.744,0.545,0.388,0.249,0.111,,
OECD Env-Growth,SSP2,R32SAF,GDP|PPP,Annual Average Growth [%],3.772,4.418,4.000,3.490,3.090,2.808,2.525,2.275,2.123,2.029,1.882,1.722,1.584,1.441,1.308,1.191,1.077,0.960,,
OECD Env-Growth,SSP3,R32SAF,GDP|PPP,Annual Average Growth [%],3.675,4.144,3.379,2.569,2.017,1.711,1.457,1.298,1.233,1.227,1.198,1.175,1.127,1.063,1.009,0.956,0.911,0.890,,
OECD Env-Growth,SSP4,R32SAF,GDP|PPP,Annual Average Growth [%],3.673,4.244,3.698,3.249,2.806,2.452,2.107,1.799,1.620,1.503,1.313,1.106,0.949,0.807,0.664,0.543,0.427,0.309,,
OECD Env-Growth,SSP5,R32SAF,GDP|PPP,Annual Average Growth [%],3.785,4.618,4.857,4.952,4.833,4.367,3.840,3.319,2.915,2.608,2.260,1.899,1.609,1.376,1.170,1.009,0.868,0.725,,
PIK GDP-32,SSP1,R32SAF,GDP|PPP,Annual Average Growth [%],2.325,3.472,3.866,4.149,4.403,4.562,4.586,3.905,3.350,3.005,2.563,2.112,1.723,1.443,1.150,0.949,0.758,0.517,,
PIK GDP-32,SSP2,R32SAF,GDP|PPP,Annual Average Growth [%],2.257,3.145,3.278,3.534,3.720,3.904,3.968,3.468,3.130,2.978,2.752,2.489,2.266,2.081,1.884,1.707,1.540,1.405,,
PIK GDP-32,SSP3,R32SAF,GDP|PPP,Annual Average Growth [%],2.009,2.446,2.274,2.305,2.302,2.317,2.373,2.058,1.879,1.880,1.832,1.721,1.612,1.481,1.388,1.311,1.228,1.179,,
PIK GDP-32,SSP4,R32SAF,GDP|PPP,Annual Average Growth [%],2.493,3.352,3.413,3.504,3.595,3.656,3.606,3.048,2.634,2.422,2.114,1.800,1.544,1.340,1.100,0.901,0.737,0.556,,
PIK GDP-32,SSP5,R32SAF,GDP|PPP,Annual Average Growth [%],2.064,3.432,4.068,4.521,4.919,5.201,5.331,4.624,4.058,3.724,3.296,2.873,2.542,2.271,2.040,1.917,1.733,1.478,,
IIASA GDP,SSP1,R32SSA-L,GDP|PPP,Annual Average Growth [%],8.348,7.000,6.559,6.299,6.034,5.652,5.267,4.877,4.464,4.029,3.605,3.212,2.859,2.534,2.244,1.965,1.700,1.452,,
IIASA GDP,SSP2,R32SSA-L,GDP|PPP,Annual Average Growth [%],7.843,6.246,5.736,5.482,5.231,4.957,4.702,4.443,4.153,3.852,3.570,3.310,3.079,2.874,2.696,2.514,2.338,2.183,,
